Site	Gbases	AGS	GE
Iowa_corn23.3	8.12	5208064	1558
Iowa_agricultural00.3	24.98	6203490	4026
Iowa_agricultural01.3	7.86	6023548	1304
Mangrove02.3	24.38	5979725	4076
Mangrove70.3	24.54	6005221	4086
Permafrost_Russia12.3	20.05	5135678	3903
Permafrost_Russia13.3	19.20	5131959	3741
Iowa_prairie75.3	18.79	6994965	2686
Iowa_prairie72.3	17.58	7169200	2452
Iowa_prairie76.3	17.43	7088957	3458
Brazilian_forest95.3	13.27	5787131	2293
Brazilian_forest39.3	9.04	8789768	1028
Brazilian_forest54.3	9.69	8371924	1157
Illinois_soybean42.3	12.54	6541610	19.16
Illinois_soybean40.3	10.60	5850740	1811
Minnesota_creek46.3	10.65	6504862	1637
Minnesota_creek45.3	9.77	6057590	1612
Disney_preserve18.3	11.20	6888257	1625
Disney_preserve_25.3	4.14	7230169	1612
Illinois_soil91.3	7.95	7441858	1068
Illinois_soil88.3	7.14	6954025	1027
Wyoming_soil22.3	6.41	5350858	1197
Permafrost_Canada23.3	6.52	3932079	1657
Permafrost_Canada45.3	5.52	4719216	1170
Cen01	23	6705016.15511	3469.8686759
Cen03	26	6046631.83959	4316.23308354
Cen04	25	6174721.99192	4092.17106536
Cen05	25	6213575.95263	4046.64987597
Cen06	22	6088619.02301	3685.18110843
Cen07	21	5810701.1708	3584.52000331
Cen10	36	4136147.93529	8744.20282296
Cen12	24	5295248.95532	4587.09343394
Cen14	24	4506566.18742	5243.06565384
Cen15	20	4881807.24623	4002.74163817
Cen16	51	5421668.97262	9317.34604734
Cen17	24	6144962.78545	3867.44839599
