 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,0.170,0,0,0,0,1.423,0.487,0.444,45.002,1.000,100,1.097,0.912,0.918
2,0.314,0,0,0,0,2.099,0.677,0.590,133.663,0.895,100,1.148,0.871,0.878
3,0.257,0,0,0,0,1.889,0.644,0.508,40.424,0.905,100,1.269,0.788,0.868
4,0.340,0,0,0,0,2.176,0.843,0.513,105.427,0.902,100,1.641,0.609,0.929
5,0.187,0,0,0,0,1.796,0.521,0.458,19.325,0.730,100,1.138,0.879,0.796
6,0.279,0,0,0,0,2.729,0.810,0.438,28.277,0.470,100,1.848,0.541,0.740
7,0.248,0,0,0,0,1.819,0.627,0.504,94.400,0.943,100,1.244,0.804,0.905
8,0.340,0,0,0,0,2.247,0.790,0.548,28.980,0.846,100,1.442,0.693,0.881
9,0.235,0,0,0,0,1.725,0.628,0.477,106.638,0.993,100,1.316,0.760,0.947
10,0.680,0,0,0,0,3.016,1.107,0.782,137.067,0.939,100,1.416,0.706,0.929
11,1.629,0,0,0,0,6.180,1.558,1.331,15.043,0.536,100,1.171,0.854,0.804
12,0.157,0,0,0,0,1.477,0.459,0.435,167.688,0.903,100,1.056,0.947,0.857
13,0.383,0,0,0,0,3.483,0.893,0.547,176.851,0.397,100,1.632,0.613,0.736
14,0.436,0,0,0,0,2.939,0.993,0.559,21.543,0.634,100,1.777,0.563,0.830
15,0.218,0,0,0,0,1.741,0.620,0.447,80.704,0.903,100,1.387,0.721,0.901
16,0.213,0,0,0,0,1.741,0.591,0.460,154.465,0.885,100,1.285,0.778,0.860
17,0.305,0,0,0,0,2.005,0.732,0.530,102.175,0.953,100,1.382,0.724,0.921
18,0.222,0,0,0,0,1.741,0.669,0.423,144.475,0.921,100,1.582,0.632,0.895
19,0.736,0,0,0,0,3.537,1.532,0.612,136.205,0.739,100,2.504,0.399,0.909
20,0.466,0,0,0,0,3.257,1.437,0.413,58.567,0.552,100,3.478,0.288,0.839
21,0.697,0,0,0,0,3.537,1.131,0.784,20.767,0.700,100,1.442,0.693,0.849
22,0.514,0,0,0,0,2.829,1.057,0.619,55.255,0.807,100,1.706,0.586,0.887
23,0.266,0,0,0,0,1.873,0.675,0.501,68.018,0.951,100,1.349,0.742,0.917
24,0.152,0,0,0,0,1.368,0.468,0.415,13.644,1.000,100,1.129,0.885,0.921
25,0.331,0,0,0,0,2.581,0.840,0.502,120.421,0.624,100,1.676,0.597,0.804
26,0.144,0,0,0,0,1.329,0.454,0.403,79.206,1.000,100,1.127,0.888,0.904
27,0.941,0,0,0,0,3.863,1.155,1.038,162.204,0.792,100,1.113,0.899,0.880
28,0.266,0,0,0,0,1.928,0.620,0.545,178.552,0.898,100,1.137,0.879,0.891
29,0.209,0,0,0,0,1.648,0.607,0.438,75.330,0.967,100,1.385,0.722,0.906
30,0.170,0,0,0,0,1.461,0.540,0.401,20.841,1.000,100,1.347,0.742,0.918
31,0.231,0,0,0,0,1.703,0.603,0.487,172.483,1.000,100,1.238,0.808,0.891
32,0.187,0,0,0,0,1.516,0.523,0.456,57.403,1.000,100,1.145,0.873,0.896
33,0.340,0,0,0,0,2.099,0.763,0.567,65.494,0.969,100,1.345,0.743,0.923
34,0.758,0,0,0,0,4.191,1.113,0.867,57.091,0.542,100,1.284,0.779,0.823
35,0.148,0,0,0,0,1.329,0.467,0.404,0.000,1.000,100,1.156,0.865,0.919
36,0.318,0,0,0,0,2.076,0.663,0.611,44.471,0.927,100,1.085,0.922,0.864
37,0.030,0,0,0,0,0.840,0.237,0.164,143.677,0.543,100,1.451,0.689,0.609
38,0.179,0,0,0,0,1.500,0.486,0.468,93.476,0.997,100,1.038,0.964,0.921
39,0.240,0,0,0,0,1.780,0.663,0.460,4.451,0.950,100,1.441,0.694,0.902
40,0.087,0,0,0,0,1.291,0.381,0.291,121.973,0.657,100,1.309,0.764,0.800
41,0.248,0,0,0,0,1.983,0.682,0.464,3.902,0.794,100,1.470,0.680,0.870
42,0.314,0,0,0,0,2.153,0.869,0.459,50.864,0.850,100,1.892,0.529,0.894
43,0.183,0,0,0,0,1.516,0.528,0.441,61.297,1.000,100,1.198,0.835,0.884
44,0.248,0,0,0,0,1.780,0.586,0.540,79.629,0.985,100,1.085,0.921,0.912
45,0.388,0,0,0,0,2.488,0.949,0.520,138.414,0.787,100,1.823,0.549,0.873
46,0.187,0,0,0,0,1.555,0.529,0.451,57.357,0.974,100,1.173,0.852,0.905
47,2.387,0,0,0,0,7.130,2.172,1.399,135.403,0.590,100,1.552,0.644,0.840
48,0.113,0,0,0,0,1.439,0.502,0.287,63.120,0.688,100,1.746,0.573,0.754
49,0.209,0,0,0,0,1.609,0.549,0.485,128.989,1.000,100,1.131,0.885,0.906
50,0.292,0,0,0,0,2.005,0.735,0.505,109.718,0.912,100,1.454,0.688,0.905
51,0.144,0,0,0,0,1.384,0.474,0.386,43.363,0.943,100,1.229,0.814,0.857
52,0.523,0,0,0,0,3.109,1.346,0.495,57.809,0.679,100,2.721,0.367,0.882
53,0.179,0,0,0,0,1.500,0.498,0.456,136.048,0.997,100,1.092,0.916,0.921
54,0.187,0,0,0,0,1.555,0.527,0.452,171.765,0.974,100,1.166,0.858,0.887
55,0.571,0,0,0,0,2.845,1.064,0.683,59.883,0.886,100,1.558,0.642,0.907
56,0.357,0,0,0,0,2.385,0.998,0.456,9.896,0.789,100,2.189,0.457,0.937
57,0.135,0,0,0,0,1.329,0.440,0.391,95.004,0.960,100,1.127,0.887,0.873
58,0.174,0,0,0,0,1.477,0.515,0.430,22.999,1.000,100,1.197,0.835,0.879
59,0.218,0,0,0,0,1.719,0.583,0.476,51.301,0.926,100,1.224,0.817,0.870
60,0.322,0,0,0,0,2.543,0.721,0.569,115.613,0.626,100,1.267,0.789,0.860
61,0.684,0,0,0,0,4.883,1.230,0.708,154.691,0.360,100,1.738,0.575,0.724
62,0.571,0,0,0,0,3.264,1.358,0.535,75.528,0.673,100,2.539,0.394,0.891
63,1.006,0,0,0,0,3.879,1.471,0.871,147.640,0.840,100,1.689,0.592,0.922
64,0.492,0,0,0,0,3.039,1.303,0.481,72.338,0.670,100,2.708,0.369,0.883
65,0.152,0,0,0,0,1.384,0.472,0.412,36.139,1.000,100,1.145,0.873,0.875
66,0.209,0,0,0,0,1.609,0.567,0.469,171.201,1.000,100,1.209,0.827,0.906
67,0.174,0,0,0,0,1.625,0.555,0.400,26.095,0.829,100,1.389,0.720,0.833
68,0.902,0,0,0,0,3.669,1.493,0.769,134.685,0.842,100,1.942,0.515,0.928
69,0.218,0,0,0,0,1.648,0.581,0.477,49.319,1.000,100,1.216,0.822,0.917
70,0.152,0,0,0,0,1.648,0.523,0.371,141.787,0.705,100,1.411,0.709,0.787
71,0.601,0,0,0,0,3.615,1.362,0.562,163.681,0.578,100,2.424,0.413,0.860
72,0.222,0,0,0,0,1.889,0.551,0.513,109.249,0.782,100,1.073,0.932,0.843
73,0.183,0,0,0,0,1.555,0.590,0.395,141.571,0.951,100,1.494,0.669,0.913
74,0.174,0,0,0,0,1.516,0.516,0.430,28.504,0.953,100,1.198,0.834,0.860
75,0.423,0,0,0,0,3.157,0.841,0.639,102.415,0.533,100,1.316,0.760,0.767
76,0.135,0,0,0,0,1.329,0.449,0.383,121.097,0.960,100,1.173,0.853,0.873
77,0.161,0,0,0,0,1.423,0.468,0.439,132.007,1.000,100,1.067,0.938,0.881
78,0.161,0,0,0,0,1.461,0.468,0.438,24.029,0.948,100,1.069,0.936,0.881
79,0.240,0,0,0,0,1.889,0.611,0.499,58.631,0.843,100,1.226,0.816,0.887
80,0.283,0,0,0,0,2.169,0.683,0.528,177.328,0.756,100,1.295,0.772,0.850
81,0.340,0,0,0,0,2.099,0.744,0.581,66.758,0.969,100,1.281,0.781,0.929
82,0.688,0,0,0,0,3.055,1.017,0.862,24.651,0.927,100,1.180,0.847,0.924
83,0.253,0,0,0,0,1.983,0.724,0.444,79.199,0.808,100,1.629,0.614,0.847
