Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.-	5125	6311	7181	6637	4981	5730	1841	1296	1557	1938	2760	6107
EC:1.1.-	189	229	284	256	152	222	36	38	56	71	90	235
EC:1.1.1.-	5045	6788	7322	6209	4651	5158	1392	1121	1643	1857	2879	6227
EC:1.1.1.1	8475	10693	11095	9995	7061	7957	2367	1837	2925	3223	4768	11204
EC:1.1.1.10	0	2	0	2	0	3	0	1	0	2	0	4
EC:1.1.1.100	17087	23428	24628	21401	15281	17903	4978	3953	5966	6331	9958	22165
EC:1.1.1.102	37	52	53	55	55	53	19	11	16	20	41	82
EC:1.1.1.103	740	1081	1211	1064	659	873	185	194	341	322	438	1032
EC:1.1.1.105	16	28	20	30	33	30	18	21	9	15	28	25
EC:1.1.1.108	177	224	225	224	168	160	51	40	43	66	69	209
EC:1.1.1.11	28	38	36	17	25	29	14	2	2	10	12	45
EC:1.1.1.116	0	1	0	2	0	4	0	1	1	0	1	3
EC:1.1.1.122	977	1196	1141	997	816	806	357	221	250	348	455	1122
EC:1.1.1.125	1129	1408	1571	1358	1066	1201	348	270	381	436	683	1412
EC:1.1.1.130	105	114	140	127	70	100	65	16	41	40	41	140
EC:1.1.1.132	523	844	1021	1036	529	603	129	89	157	187	345	1041
EC:1.1.1.133	2456	3426	3614	3357	2263	2841	917	608	1127	1198	1797	3778
EC:1.1.1.136	1530	1832	2398	1925	1190	1675	398	319	610	690	925	2136
EC:1.1.1.137	0	0	1	0	0	3	4	0	0	0	0	3
EC:1.1.1.14	2852	3473	3978	3421	2288	2740	907	717	1077	1087	1586	3260
EC:1.1.1.140	89	122	116	102	105	81	14	22	19	43	46	106
EC:1.1.1.145	29	21	28	19	33	26	9	8	17	15	17	21
EC:1.1.1.157	2448	3027	3450	2883	2013	2561	793	613	1010	1121	1476	3686
EC:1.1.1.159	281	408	400	348	235	254	69	69	95	98	150	353
EC:1.1.1.163	189	244	294	210	140	186	54	33	56	58	127	181
EC:1.1.1.169	3035	4142	4442	3807	2598	3190	968	748	1161	1284	1914	4245
EC:1.1.1.17	75	100	106	73	55	74	39	23	26	35	49	67
EC:1.1.1.170	13	24	12	16	10	14	4	5	8	5	10	20
