Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
pfam00001	9	31	6	40	142	62	0	28	2	3	148	10
pfam00002	6	6	2	0	10	3	0	0	0	0	12	0
pfam00003	5	0	2	17	13	8	0	5	6	0	10	0
pfam00004	38613	43150	41467	39853	34462	34289	83958	46782	53388	37653	94761	40273
pfam00005	308770	360795	335385	339249	284459	282778	557492	298046	338061	246999	729665	351927
pfam00006	20299	28092	27266	27502	21858	22652	39118	22494	24275	19530	47496	27879
pfam00007	0	0	0	0	5	0	0	0	0	0	0	0
pfam00008	3	75	21	14	92	96	6	11	7	0	149	0
pfam00009	41907	52789	50444	50858	41618	41315	75500	44904	46363	37783	98004	50006
pfam00010	140	91	8	17	126	5	0	5	0	4	93	3
pfam00011	9976	10854	11226	9461	12037	9795	37636	20117	21489	16003	35952	6295
pfam00012	20074	26647	25363	25615	19520	20135	20673	14313	16301	13737	39354	26365
pfam00013	4901	5467	4739	4830	4836	4276	15255	6195	9567	5942	14221	5097
pfam00014	0	6	0	3	6	3	0	7	0	0	27	7
pfam00015	13174	12876	11659	13105	11522	11690	13068	11505	7367	8155	23211	6453
pfam00016	967	1074	892	1222	641	765	4436	1581	1999	1206	2314	777
pfam00017	0	6	0	14	46	10	6	19	0	7	43	9
pfam00018	231	208	16	64	188	9	22	73	93	69	129	11
pfam00019	0	0	0	0	9	0	0	0	0	0	0	6
pfam00020	0	3	0	0	0	5	0	0	0	0	0	0
pfam00021	0	0	0	0	0	0	0	3	0	0	0	0
pfam00022	459	405	71	132	453	95	718	202	613	164	156	16
pfam00023	2625	4686	2735	4484	3844	3733	1355	2074	1476	1376	4925	3380
pfam00024	25	21	22	17	40	28	0	14	0	4	86	13
pfam00025	1241	908	833	729	871	763	948	1965	1285	1078	2464	493
pfam00026	463	441	74	125	515	64	30	52	34	12	126	33
pfam00027	32782	33063	34418	30313	26944	25440	28972	30423	23497	21141	75518	24625
pfam00028	30	93	33	62	142	98	76	113	39	34	384	429
pfam00029	0	0	0	0	0	0	0	0	0	0	0	0
pfam00030	231	305	181	68	182	112	2	856	104	255	663	468
pfam00031	0	13	0	0	0	6	0	0	0	0	1013	22
pfam00032	3191	3430	3447	3626	2928	2708	7248	5178	5376	4258	9154	2340
pfam00033	5815	7469	7246	7503	5877	6296	5674	6455	3374	3879	11704	3326
pfam00034	19051	24603	23478	24214	22681	21070	22877	28701	21017	20989	58938	16481
pfam00035	2903	3169	2757	2908	2790	2548	6290	4423	4232	3537	8509	2076
pfam00036	138	153	30	125	148	61	24	27	33	18	113	74
pfam00037	7825	8066	9645	8107	7132	7291	12377	7255	7241	6689	15832	7582
pfam00038	0	3	0	0	9	0	0	0	0	0	0	8
pfam00039	0	0	0	0	0	0	0	0	0	0	3	0
pfam00040	0	0	0	0	0	0	0	0	0	0	0	0
pfam00041	8737	7806	6540	5969	6160	5993	8166	7998	7455	5908	22266	7231
pfam00042	793	338	394	496	473	414	830	638	136	216	914	563
pfam00043	6257	10052	6694	8554	11534	6888	9930	9848	3582	7718	20283	4229
pfam00044	5312	6282	5950	6244	5288	4963	11664	6122	7132	4950	13179	6067
pfam00045	22	29	15	27	33	20	0	18	22	0	129	69
pfam00046	103	82	3	21	89	6	3	15	4	13	87	24
pfam00047	0	0	3	0	0	0	0	3	7	0	9	2
pfam00048	0	0	0	0	0	0	0	0	0	0	0	0
pfam00049	0	0	0	0	0	0	0	0	0	0	3	0
pfam00050	73	120	113	69	69	60	8	105	45	194	174	61
pfam00051	0	0	0	0	0	0	0	0	0	0	3	0
pfam00052	2	29	3	0	10	12	0	5	0	0	40	40
pfam00053	3	3	0	9	8	15	2	16	0	4	29	13
pfam00054	0	0	0	4	3	0	0	7	0	0	14	0
pfam00055	0	0	0	4	5	3	0	0	0	0	20	0
pfam00056	4450	5871	5545	5334	4533	4653	10329	5312	6856	4799	11436	5655
pfam00057	3	19	2	15	37	6	3	6	3	5	101	8
pfam00058	89	190	83	176	112	69	98	82	117	30	175	123
pfam00059	120	248	68	89	124	104	26	76	29	57	453	119
pfam00060	6	22	11	38	32	19	0	5	5	0	38	51
pfam00061	3	0	0	0	0	0	0	0	0	0	7	0
pfam00062	0	2	0	0	0	0	4	0	0	9	0	0
pfam00063	340	322	13	144	272	51	35	38	2	30	145	16
pfam00064	0	0	0	0	0	0	0	0	0	0	0	0
pfam00066	0	0	0	0	0	0	0	0	0	0	0	0
pfam00067	25082	23609	18487	20971	18788	16255	30100	15519	18086	13267	46936	12594
pfam00068	15	5	15	11	6	0	83	229	140	207	230	0
pfam00069	135690	137494	144372	134558	120082	104798	75617	98910	100187	72984	242252	169780
pfam00070	15170	18075	17659	19588	12507	13731	17789	11499	10247	8806	25787	16229
pfam00071	1060	1057	495	613	903	644	533	708	275	390	1141	316
pfam00072	269989	292812	266762	270971	231267	225687	275623	281973	242930	203567	675779	216445
pfam00073	0	0	0	0	0	0	0	0	0	0	0	0
pfam00074	0	0	0	0	0	0	0	0	0	0	0	0
pfam00075	4419	3840	3169	3819	4403	2950	4433	2566	2139	2607	7716	2407
pfam00076	5705	6932	6000	6260	6370	4860	4078	5265	4034	4494	15151	4923
pfam00077	196	144	99	76	62	140	35	63	76	22	756	182
pfam00078	21533	10805	18300	21128	10385	12702	5610	5541	7011	3667	15132	9933
pfam00079	1455	1872	1332	1552	1750	1528	1041	728	945	644	3166	1157
pfam00080	961	1467	1533	1368	1056	880	657	1074	878	832	3997	1477
pfam00081	3337	4570	4042	4177	3496	3414	7432	4740	5337	3881	10450	3980
pfam00082	18653	18898	16005	15115	14230	14405	27255	14505	22247	14796	62735	26859
pfam00083	19543	24833	21045	26515	22344	18094	37569	20923	18126	14027	30470	12003
pfam00084	12	19	5	15	34	32	2	10	4	7	43	6
pfam00085	8937	10294	8326	8657	8669	7603	22772	9636	14084	8988	25774	8861
pfam00086	0	0	4	6	0	6	3	0	0	0	0	0
pfam00087	0	0	3	0	0	0	0	0	0	0	0	0
pfam00088	0	0	0	0	0	6	0	0	0	0	10	0
