KO	t_value	Pearsons_R	p_value
K02868	-0.798320389301587	-0.244771698961192	0.443230309537295
K02997	-0.570080619348885	-0.177415441679121	0.581204050566034
K02870	-0.323281185416743	-0.101700429100351	0.753141127694738
K02865	-1.37894843607689	-0.399712010639159	0.197970366855677
K02901	-0.234185446235097	-0.0738537001322001	0.819565958811415
K02932	-0.980304940581134	-0.296098458603253	0.350056575813761
K02981	-1.02590151720411	-0.30858578941883	0.329113970325982
K02953	-1.13746676671367	-0.33846836322035	0.281863245640418
K02949	-0.925022421917351	-0.280752746737438	0.37673679071304
K02891	-0.988865713774946	-0.298454798777431	0.346051542159928
K02900	-0.991232742464263	-0.299105360160526	0.344950133991797
K02920	1.29795247490525	0.379708542353997	0.22344173487496
K02964	-0.868231856637003	-0.26476111587953	0.405621824438945
K02969	-0.838614395069407	-0.256332686482439	0.421279222581339
K02985	-1.15165513141533	-0.342198604215201	0.276252943926905
K02993	-1.0197428786343	-0.306908270929672	0.331886792460704
K02893	0.230174748265701	0.0725955932460388	0.822596208073002
K02905	-0.526524094702481	-0.164240501454928	0.610003152978635
K02923	-1.2065810047784	-0.356486474969919	0.25536185806206
