MAG	MiGA Taxonomy	MiGA_Completeness	MiGA_Contamination	MiGA_Taxonomy_Simplified
METABAT_VerySpecific.106	p__Proteobacteria	95.5	2.7	p__Proteobacteria
METABAT_VerySpecific.109	p__Thaumarchaeota	92.3	0	p__Thaumarchaeota
METABAT_VerySpecific.115	p__Chloroflexi	92.8	8.1	p__Chloroflexi
METABAT_VerySpecific.117	c__Gammaproteobacteria	63.1	1.8	c__Gammaproteobacteria
METABAT_VerySpecific.119	p__Thaumarchaeota	96.2	0	p__Thaumarchaeota
METABAT_VerySpecific.122	p__Proteobacteria	91	1.8	p__Proteobacteria
METABAT_VerySpecific.126	c__Spartobacteria	93.7	0.9	p__Verrucomicrobia
METABAT_VerySpecific.129	f__Rhodanobacteraceae	92.8	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.132	c__Alphaproteobacteria	94.6	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.134	p__Acidobacteria	94.6	1.8	p__Acidobacteria
METABAT_VerySpecific.135	c__Actinobacteria	91.9	1.8	p__Actinobacteria
METABAT_VerySpecific.137	p__Actinobacteria	91	0.9	p__Actinobacteria
METABAT_VerySpecific.138	p__Proteobacteria	91	2.7	p__Proteobacteria
METABAT_VerySpecific.140	c__Alphaproteobacteria	89.2	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.152	c__Alphaproteobacteria	89.2	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.154	p__Proteobacteria	91.9	0.9	p__Proteobacteria
METABAT_VerySpecific.155	p__Proteobacteria	89.2	0	p__Proteobacteria
METABAT_VerySpecific.164	c__Alphaproteobacteria	89.2	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.166	c__Solibacteres	92.8	2.7	p__Acidobacteria
METABAT_VerySpecific.167	f__Nitrosophaeraceae	100	0	p__Thaumarchaeota
METABAT_VerySpecific.174	c__Solibacteres	91	6.3	p__Acidobacteria
METABAT_VerySpecific.175	c__Alphaproteobacteria	63.1	2.7	c__Alphaproteobacteria
METABAT_VerySpecific.176	p__Thaumarchaeota	100	3.8	p__Thaumarchaeota
METABAT_VerySpecific.18	c__Gammaproteobacteria	95.5	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.180	p__Verrucomicrobia	92.8	5.4	p__Verrucomicrobia
METABAT_VerySpecific.187	c__Solibacteres	88.3	2.7	p__Acidobacteria
METABAT_VerySpecific.189	p__Proteobacteria	27	0.9	p__Proteobacteria
METABAT_VerySpecific.199	p__Planctomycetes	91.9	3.6	p__Planctomycetes
METABAT_VerySpecific.208	p__Chloroflexi	90.1	4.5	p__Chloroflexi
METABAT_VerySpecific.209	c__Acidobacteriia	91.9	2.7	p__Acidobacteria
METABAT_VerySpecific.223	f__Nitrosophaeraceae	96.2	0	p__Thaumarchaeota
METABAT_VerySpecific.23	p__Actinobacteria	89.2	2.7	p__Actinobacteria
METABAT_VerySpecific.231	p__Proteobacteria	92.8	1.8	p__Proteobacteria
METABAT_VerySpecific.233	p__Firmicutes	91.9	0.9	p__Firmicutes
METABAT_VerySpecific.243	c_Chlamydiia	94.6	0.8	p__Chlamydiae
METABAT_VerySpecific.244	f__Beijerinckiaceae	93.7	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.258	o__Xanthomonadales	94.6	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.27	p__Acidobacteria	84.7	1.8	p__Acidobacteria
METABAT_VerySpecific.278	p__Proteobacteria	91	0.9	p__Proteobacteria
METABAT_VerySpecific.294	p__Proteobacteria	92.8	0.9	p__Proteobacteria
METABAT_VerySpecific.3	c__Alphaproteobacteria	73	2.7	c__Alphaproteobacteria
METABAT_VerySpecific.306	c__Spartobacteria	91.9	0.9	p__Verrucomicrobia
METABAT_VerySpecific.32	c__Gammaproteobacteria	91.9	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.325	p__Chloroflexi	92.8	1.8	p__Chloroflexi
METABAT_VerySpecific.33	p__Proteobacteria	91.9	0	p__Proteobacteria
METABAT_VerySpecific.331	c__Gemmatimonadetes	92.8	0.9	p__Gemmatimonadetes
METABAT_VerySpecific.333	c__Nitrososphaeria	76.9	0	p__Thaumarchaeota
METABAT_VerySpecific.334	p__Bacteroidetes	93.7	1.8	p__Bacteroidetes
