RefSoil.ID	Phylum	Class	Order	Family	Genus	Species	RefSoil	Aggregate	Size
923	RefSoil_1	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	RefSoil	Genome.P	4641652
924	RefSoil_10	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	RefSoil	Genome.P	1584804
925	RefSoil_100	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira multiformis	RefSoil	Genome.P	3234309
926	RefSoil_101	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	RefSoil	Genome.P	3278307
927	RefSoil_102	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica	RefSoil	Genome.P	2628784
928	RefSoil_103	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis	RefSoil	Genome.P	6723972
929	RefSoil_104	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	RefSoil	Genome.P	1767403
930	RefSoil_105	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	RefSoil	Genome.P	5013479
931	RefSoil_106	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli	RefSoil	Genome.P	6530228
932	RefSoil_107	Cyanobacteria		Chroococcales		Synechococcus		RefSoil	Genome.P	2932766
933	RefSoil_108	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia		RefSoil	Genome.P	5433628
934	RefSoil_109	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	RefSoil	Genome.P	5331656
935	RefSoil_11	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	RefSoil	Genome.P	5339179
936	RefSoil_110	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium aromaticivorans	RefSoil	Genome.P	4233314
937	RefSoil_111	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia	Neorickettsia sennetsu	RefSoil	Genome.P	859006
938	RefSoil_112	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	RefSoil	Genome.P	1895994
939	RefSoil_113	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium hafniense	RefSoil	Genome.P	5727534
940	RefSoil_114	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	RefSoil	Genome.P	5513844
941	RefSoil_115	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus	RefSoil	Genome.P	2971517
942	RefSoil_116	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		RefSoil	Genome.P	5898676
943	RefSoil_117	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	RefSoil	Genome.P	4892717
944	RefSoil_118	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter salexigens	RefSoil	Genome.P	3696649
945	RefSoil_119	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	Nitrobacter hamburgensis	RefSoil	Genome.P	5011522
946	RefSoil_12	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	RefSoil	Genome.P	1469720
947	RefSoil_120	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter cryohalolentis	RefSoil	Genome.P	3101097
948	RefSoil_121	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans	RefSoil	Genome.P	6913352
949	RefSoil_122	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Candidatus Koribacter	Candidatus Koribacter versatilis	RefSoil	Genome.P	5650368
950	RefSoil_123	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas entomophila	RefSoil	Genome.P	5888780
951	RefSoil_124	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	RefSoil	Genome.P	9139763
952	RefSoil_125	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		RefSoil	Genome.P	5920523
953	RefSoil_126	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter xylanophilus	RefSoil	Genome.P	3225748
954	RefSoil_127	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pestis	RefSoil	Genome.P	4646286
955	RefSoil_128	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pestis	RefSoil	Genome.P	4879836
956	RefSoil_129	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	RefSoil	Genome.P	1892616
957	RefSoil_13	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	RefSoil	Genome.P	3773159
958	RefSoil_130	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans		RefSoil	Genome.P	4935185
959	RefSoil_131	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga hutchinsonii	RefSoil	Genome.P	4433218
960	RefSoil_132	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	RefSoil	Genome.P	3256683
961	RefSoil_133	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus jostii	RefSoil	Genome.P	9702737
962	RefSoil_134	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia alni	RefSoil	Genome.P	7497934
963	RefSoil_135	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator	RefSoil	Genome.P	7416678
964	RefSoil_136	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis	RefSoil	Genome.P	2708355
965	RefSoil_137	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	RefSoil	Genome.P	7751309
966	RefSoil_138	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria	RefSoil	Genome.P	7528567
967	RefSoil_139	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	RefSoil	Genome.P	5505494
968	RefSoil_14	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens	RefSoil	Genome.P	3814128
